task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	34/d65b1c	63588601	pretrim_qc_wf:pretrimQC (Tlc_9579)	CACHED	0	2026-08-15 15:36:57.454	1m 13s	51.7s	91.4%	589.6 MB	3.1 GB	401.1 MB	4.4 MB
1	ac/98b25e	63589223	merge_overlaping_reads (Tlc_9579)	CACHED	0	2026-08-15 18:36:18.927	1h 25m 18s	1h 25m 5s	294.1%	211 MB	436.8 MB	19.4 GB	49.6 GB
2	79/9c30e5	63589217	getRG (Tlc_9579)	CACHED	0	2026-08-15 18:03:38.934	18.1s	542ms	81.4%	3.4 MB	7.1 MB	8.3 MB	20.9 KB
3	5d/96e78c	63589224	trim_PE (Tlc_9579)	CACHED	0	2026-08-15 18:36:19.028	34m 3s	33m 52s	264.3%	2 GB	34.4 GB	9.7 GB	8.1 GB
4	6f/d0fa73	63588606	pretrim_qc_wf:pretrimQC (Tlc_9579)	CACHED	0	2026-08-15 15:36:57.626	13m 48s	13m 25s	98.1%	590.7 MB	3.1 GB	9.7 GB	4.3 MB
5	d2/b244b8	63588602	merge_overlaping_reads (Tlc_9579)	CACHED	0	2026-08-15 15:36:57.527	5m 28s	5m 4s	287.9%	213.5 MB	436.6 MB	790.8 MB	2.1 GB
8	05/c12221	63589216	getRG (Tlc_9579)	CACHED	0	2026-08-15 18:03:38.822	18.2s	567ms	76.3%	3.4 MB	7.1 MB	8.3 MB	20.9 KB
7	8c/646863	63588600	trim_PE (Tlc_9579)	CACHED	0	2026-08-15 15:36:57.431	1m 53s	1m 28s	263.7%	1.5 GB	34.4 GB	394.9 MB	346.4 MB
9	e0/ba6b62	63588608	posttrim_qc_wf:posttrimQC_PE (Tlc_9579)	CACHED	0	2026-08-15 15:38:50.721	1m 10s	40.6s	90.5%	604.9 MB	3.1 GB	362.9 MB	9.4 MB
12	68/952210	63589372	posttrim_qc_wf:posttrimQC_PE (Tlc_9579)	CACHED	0	2026-08-15 19:10:22.161	14m	13m 56s	97.7%	583.9 MB	3 GB	8.1 GB	9.5 MB
11	bb/9a2215	63588609	trim_SE (Tlc_9579)	CACHED	0	2026-08-15 15:42:25.720	54.9s	32.1s	129.5%	1.5 GB	34 GB	523.8 MB	74.6 MB
10	9e/f86c0d	63589373	trim_SE (Tlc_9579)	CACHED	0	2026-08-15 20:01:37.296	14m 45s	14m 27s	129.1%	1.5 GB	34 GB	12.8 GB	1.8 GB
13	51/6ab3ba	63589220	pretrim_qc_wf:pretrim_multiQC (pretrim_multiqc)	CACHED	0	2026-08-15 18:03:39.143	37.8s	18.7s	16.4%	130 MB	393.1 MB	60.1 MB	21.3 MB
14	ae/348d12	63588610	posttrim_qc_wf:posttrimQC_SE (Tlc_9579)	CACHED	0	2026-08-15 15:43:20.710	40s	11.6s	87.9%	583.9 MB	3 GB	88.2 MB	2.9 MB
17	67/9e2cf3	63589376	posttrim_qc_wf:posttrimQC_SE (Tlc_9579)	CACHED	0	2026-08-15 20:16:22.295	4m	3m 55s	96.4%	558.9 MB	3 GB	1.8 GB	2.8 MB
18	5f/b1eee4	63589378	trim_stats (trim_multiqc)	CACHED	0	2026-08-15 20:16:22.332	9.9s	3.8s	61.8%	110.8 MB	393.1 MB	52.3 MB	18.3 MB
