source_organism_id,specimen_id,lane,R1,R2
T.alm.sp.IDN_148314,TaS148314l,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/TaS148314l_L1_R1_001_K2iikUWIfn2U.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/TaS148314l_L1_R2_001_1p3izj0OpFHG.fastq.gz
T.jav.lif.NC_BRIENNE,Tjl_BRIENN,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tjl_BRIENN_L1_R1_001_S6XnwRZThGXU.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tjl_BRIENN_L1_R2_001_BrOT4W3AfaJQ.fastq.gz
T.jav.lif.NC_Egrey,Tjl_Egreyl,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tjl_Egreyl_L1_R1_001_VYnaFOWcI6Zk.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tjl_Egreyl_L1_R2_001_dgPv9fkJR49H.fastq.gz
T.jav.lif.NC_Noctus,Tjl_Noctus,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tjl_Noctus_L1_R1_001_FU7XD031Udx9.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tjl_Noctus_L1_R2_001_eIG13d5ZhgI1.fastq.gz
T.jav.lif.NC_Ruby,Tjl_Ruby_l,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tjl_Ruby_l_L1_R1_001_S6Nj7gkT0B3B.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tjl_Ruby_l_L1_R2_001_MIMhNae1ayxN.fastq.gz
T.jav.lif.NC_SOWA,Tjl_SOWA,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tjl_SOWA_L1_R1_001_X01NhlbIn3bZ.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tjl_SOWA_L1_R2_001_AQ5vyU1l62uJ.fastq.gz
T.lon.ama.PH_70966,GJ_33,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/GJ_33_L1_R1_001_EPSKoIHeWAFJ.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/GJ_33_L1_R2_001_DhznHXyEX1Ot.fastq.gz
T.alb.sp.FR_EUR_Tytalb6D ,Tsp_EUR_6D,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_EUR_6D_L1_R1_001_lCEl0MqER1wZ.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_EUR_6D_L1_R2_001_lERs6Fr42o7p.fastq.gz
T.alb.sp.FR_EUR_Tytalb6Marion ,Tsp_Marion,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_Marion_L1_R1_001_USogOjlPS8eM.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_Marion_L1_R2_001_N6rE3U7c0GrX.fastq.gz
T.alb.sp.FR_EUR_V091 ,Tsp_V091,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_V091_L1_R1_001_TluMXTE3zPH9.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_V091_L1_R2_001_ml4tGzWMCeFZ.fastq.gz
T.alb.sp.FR_EUR_V093,Tsp_V093,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_V093_L1_R1_001_SkDyIzurDveb.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_V093_L1_R2_001_BBD3im1Ss6Yo.fastq.gz
T.alb.sp.FR_JDN1 ,Tsp_JDN1,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_JDN1_L1_R1_001_UFLlTUFlY9W1.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_JDN1_L1_R2_001_kwJLDGmwGQgQ.fastq.gz
T.alb.sp.FR_JDN2 ,Tsp_JDN2,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_JDN2_L1_R1_001_UDJDJPSYlza4.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tsp_JDN2_L1_R2_001_jetH6HUuOlli.fastq.gz
T.ten.ten.AU_27011,GJ_14,L1,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/GJ_14_L1_R1_001_Pq4x2CH2XMIm.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/GJ_14_L1_R2_001_a68B32ERqT6Y.fastq.gz
