source_organism_id,specimen_id,coverage,ref_version
T.lon.chi.CHN_9579,Tlc_9579,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tlc_9579_L7_coverage.tsv,2020
T.lon.chi.CHN_9579,Tlc_9579,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tlc_9579_L1_coverage.tsv,2020
T.fur.pra.DOM_16499,Tfp_16499,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tfp_16499_L7_coverage.tsv,2020
T.fur.bar.NLD_25153,Tab_25153,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tab_25153_L7_coverage.tsv,2020
T.alb.aff.NAM_66898,Taa_66898,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Taa_66898_L7_coverage.tsv,2020
T.fur.tui.CHL_64924,Tft_64924,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tft_64924_L7_coverage.tsv,2020
T.fur.tui.CHL_64926,Tft_64926,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tft_64926_L7_coverage.tsv,2020
T.alb.sch.PT_31052,Tas_31052,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tas_31052_L7_coverage.tsv,2020
T.jav.del.WSM_23135,Tad_23135,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tad_23135_L5_coverage.tsv,2020
T.jav.del.WSM_23135,Tad_23135,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tad_23135_L7_coverage.tsv,2020
T.fur.fur.CUB_53437,Tff_53437,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tff_53437_L7_coverage.tsv,2020
T.jav.sum.IDN_21862,Tas_21862,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tas_21862_L7_coverage.tsv,2020
T.jav.sum.IDN_21865,Tas_21865,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tas_21865_L7_coverage.tsv,2020
T.mul..AU_20985,Tt_20985,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tt_20985_L7_coverage.tsv,2020
T.gla.sp.NA_21070,Tg_21070,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tg_21070_L7_coverage.tsv,2020
T.nig.sp.IDN_44282,Tn_44282,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tn_44282_L6_coverage.tsv,2020
T.ros.ros.IDN_13355,Trr_13355,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Trr_13355_L6_coverage.tsv,2020
T.ros.ros.IDN_13864,Trr_13864,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Trr_13864_L6_coverage.tsv,2020
T.ros.ros.IDN_10417,Trr_10417,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Trr_10417_L6_coverage.tsv,2020
T.ros.ros.IDN_8267,Trr_8267,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Trr_8267_L6_coverage.tsv,2020
T.ten.arf.IDN_15018,Tta_15018,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tta_15018_L6_coverage.tsv,2020
T.ten.arf.IDN_8268,Tta_8268,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tta_8268_L6_coverage.tsv,2020
T.lon.ama.PH_8269,Tla_8269,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tla_8269_L6_coverage.tsv,2020
T.alb.tho.STP_52428,Tat_52428,/work/FAC/FBM/DEE/jgoudet/barn_owl/apulido/museum_short.reads_2025_4th.samples.Germany/1_Reads2Bam/data/QC/6_coverage/Tat_52428_L6_coverage.tsv,2020
