source_organism_id,specimen_id,lane,R1,R2
T.lon.chi.CHN_9579,Tlc_9579,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tlc_9579_MKDN250052932-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tlc_9579_MKDN250052932-1A_23FT27LT4_L7_2.fq.gz
T.lon.chi.CHN_9579,Tlc_9579,L1,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tlc_9579_MKDN250052932-1A_235LFNLT4_L1_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tlc_9579_MKDN250052932-1A_235LFNLT4_L1_2.fq.gz
T.fur.pra.DOM_16499,Tfp_16499,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tfp_16499_MKDN250052933-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tfp_16499_MKDN250052933-1A_23FT27LT4_L7_2.fq.gz
T.fur.bar.NLD_25153,Tab_25153,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/lll_25153_MKDN250054776-1A_23FT2KLT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/lll_25153_MKDN250054776-1A_23FT2KLT4_L7_2.fq.gz
T.alb.aff.NAM_66898,Taa_66898,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Taa_66898_MKDN250052936-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Taa_66898_MKDN250052936-1A_23FT27LT4_L7_2.fq.gz
T.fur.tui.CHL_64924,Tft_64924,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tft_64924_MKDN250052937-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tft_64924_MKDN250052937-1A_23FT27LT4_L7_2.fq.gz
T.fur.tui.CHL_64926,Tft_64926,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tft_64926_MKDN250052938-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tft_64926_MKDN250052938-1A_23FT27LT4_L7_2.fq.gz
T.alb.sch.PT_31052,Tas_31052,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tas_31052_MKDN250052939-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tas_31052_MKDN250052939-1A_23FT27LT4_L7_2.fq.gz
T.fur.fur.CUB_53437,Tff_53437,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/53437_II_MKDN250053766-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/53437_II_MKDN250053766-1A_23FT27LT4_L7_2.fq.gz
T.jav.sum.IDN_21862,Tas_21862,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tas_21862_MKDN250052942-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tas_21862_MKDN250052942-1A_23FT27LT4_L7_2.fq.gz
T.jav.sum.IDN_21865,Tas_21865,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/21865_II_MKDN250053769-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/21865_II_MKDN250053769-1A_23FT27LT4_L7_2.fq.gz
T.mul..AU_20985,Tt_20985,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tt_20985_MKDN250052946-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tt_20985_MKDN250052946-1A_23FT27LT4_L7_2.fq.gz
T.gla.sp.NA_21070,Tg_21070,L7,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/21070_II_MKDN250053767-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/21070_II_MKDN250053767-1A_23FT27LT4_L7_2.fq.gz
