source_organism_id,specimen_id,lane,R1,R2
T.alb.sp.ARE_OWL221108.1_Emirat_1,Ta_Emira1s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_Emira1s_L5_R1_001_qaLr9X6vLrSh.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_Emira1s_L5_R2_001_a86UTzil7xy8.fastq.gz
T.alb.tho.STP_1971.715,Ta1971715s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta1971715s_L5_R1_001_gRouXGFMWFrG.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta1971715s_L5_R2_001_GnFAMGoo1uvd.fastq.gz
T.alb.tho.STP_1973.43,Tat19734s2,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tat19734s2_L5_R1_001_YTnnAmSjGOCd.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tat19734s2_L5_R2_001_iGN80cUxa0KR.fastq.gz
T.alb.tho.STP_1973.431,Tat19734s1,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tat19734s1_L5_R1_001_N2zsBkbZqi4U.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tat19734s1_L5_R2_001_4YcCxodMNm9E.fastq.gz
T.alm.sp.IDN_148314,TaS148314s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/TaS148314s_L5_R1_001_5OthnF6aIhz0.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/TaS148314s_L5_R2_001_8f4l2mDgfvoi.fastq.gz
T.aur.sp.PNG_4-tyto,Tau_4tytos,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tau_4tytos_L5_R1_001_7Hyv8BJDsX1M.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tau_4tytos_L5_R2_001_IWtZLMn7eKYt.fastq.gz
T.cap.cap.CG_96.644,Tcc_96644s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tcc_96644s_L5_R1_001_ZyO0GSnfaWrs.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tcc_96644s_L5_R2_001_3HOwKBurXrM8.fastq.gz
T.fur.con.ECU_1144.058,Tf1144058s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tf1144058s_L5_R1_001_COC51OqKyacH.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tf1144058s_L5_R2_001_SpL2Dz63VrYF.fastq.gz
T.fur.con.PE_19654,Tfc_19654s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfc_19654s_L5_R1_001_gD0UlYclutNa.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfc_19654s_L5_R2_001_MCXIeG1sHExp.fastq.gz
T.fur.con.PE_204,Tfc_204s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfc_204s_L5_R1_001_8s1jR8hYxx5f.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfc_204s_L5_R2_001_BVRo84SGnq2O.fastq.gz
