source_organism_id,specimen_id,lane,R1,R2
T.alb.det.CV_CV01,Tad_CV01l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tad_CV01l_L4_R1_001_D01J0NuMb4tV.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tad_CV01l_L4_R2_001_WDRfPV0u758P.fastq.gz
T.alb.det.CV_Tad_CV_1,Tad_CV_1l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tad_CV_1l_L4_R1_001_OqqGurHWUxPf.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tad_CV_1l_L4_R2_001_a7r8YloQrpla.fastq.gz
T.alb.det.CV_Tad_CV_2,Tad_CV_2l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tad_CV_2l_L4_R1_001_LEhOz7lZl9KT.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tad_CV_2l_L4_R2_001_UXAIeLCLMeBO.fastq.gz
T.alb.det.CV_Tad_CV_3,Tad_CV_3l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tad_CV_3l_L4_R1_001_qgzTRPoRTnbM.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tad_CV_3l_L4_R2_001_CgRvIjPvleMO.fastq.gz
T.alb.poe.CG_77.600,Taa_77600l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Taa_77600l_L4_R1_001_A0G2ak78DlGn.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Taa_77600l_L4_R2_001_cJQ2VEZ2QD8q.fastq.gz
T.alb.sp.ARE_OWL220922.1_Emirat_2,Ta_Emira2l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_Emira2l_L4_R1_001_aE8czEx1UN9i.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_Emira2l_L4_R2_001_WDPoSjRp0uSE.fastq.gz
T.alb.sp.ARE_OWL221108.1_Emirat_1,Ta_Emira1l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_Emira1l_L4_R1_001_yrJQT8yUwdjJ.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_Emira1l_L4_R2_001_Z5DLDa4KoSvg.fastq.gz
T.alb.sp.ITS_b_2678,Ta_b_2678l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_b_2678l_L4_R1_001_U4gSvJT4Rbur.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_b_2678l_L4_R2_001_Y6Zm4tXmfq2m.fastq.gz
T.alb.sp.ITS_m_39,Ta_m_39l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_m_39l_L4_R1_001_cRS4Zpbw9iZS.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_m_39l_L4_R2_001_Z4AuHcpKwSBW.fastq.gz
T.alb.sp.ITS_m_40,Ta_m_40l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_m_40l_L4_R1_001_uwbkSkddqsFW.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_m_40l_L4_R2_001_UTXbYUdk29iB.fastq.gz
T.alb.sp.ITS_m_41,Ta_m_41l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_m_41l_L4_R1_001_nu9loNojGpwm.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_m_41l_L4_R2_001_j8mrALrPhD5a.fastq.gz
T.alb.sp.ITS_m_42,Ta_m_42l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_m_42l_L4_R1_001_KGFd7N9t0lBu.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ta_m_42l_L4_R2_001_nsX9nmVfdTk4.fastq.gz
T.alb.tho.STP_COR1,Tat_COR1bl,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tat_COR1bl_L4_R1_001_TXNrsJo0SDEt.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tat_COR1bl_L4_R2_001_IZWdh8A2kZs5.fastq.gz
T.alb.tho.STP_COR1,Tat_COR1fl,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tat_COR1fl_L4_R1_001_FGJHgrLKYe0O.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tat_COR1fl_L4_R2_001_Jwd47fmjVNc6.fastq.gz
T.alm.sp.IDN_148314,TaS148314l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/TaS148314l_L4_R1_001_a9WZJWkD3tTK.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/TaS148314l_L4_R2_001_Pl21lapv5VRc.fastq.gz
T.cap.cap.CG_96.644,Tcc_96644l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tcc_96644l_L4_R1_001_Xz08tMxLhNk0.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tcc_96644l_L4_R2_001_gr1gaSbDUhTc.fastq.gz
T.fur.bar.BES_1john,Tfb_1johnl,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfb_1johnl_L4_R1_001_kVsuOKHudSt9.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfb_1johnl_L4_R2_001_1PDhp5w1uA27.fastq.gz
T.fur.bar.BES_2john,Tfb_2johnl,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfb_2johnl_L4_R1_001_krYQIGooyzzC.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfb_2johnl_L4_R2_001_iZxpDLDacgCD.fastq.gz
T.fur.bar.BES_5john,Tfb_5johnl,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfb_5johnl_L4_R1_001_27zLeIluSTOw.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfb_5johnl_L4_R2_001_FTrjexDZc4U9.fastq.gz
T.fur.hel.TTO_24865,Tfh_24865l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfh_24865l_L4_R1_001_acqQtwwpoBhU.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfh_24865l_L4_R2_001_dRm8cCObKhhT.fastq.gz
T.fur.luc.BHS_B-71143,Tfl_71143l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfl_71143l_L4_R1_001_R4vRLdwQWb9S.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tfl_71143l_L4_R2_001_gcFwQ38YwpL9.fastq.gz
T.fur.tui.ARG_80.226,Tft_80226l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tft_80226l_L4_R1_001_Q3Ce604iyHDm.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tft_80226l_L4_R2_001_GuvMrfPWF2hn.fastq.gz
T.fur.tui.ARG_84.57,Tft_84570l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tft_84570l_L4_R1_001_vsoEbmZRGxba.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tft_84570l_L4_R2_001_mwClnL6EWYwL.fastq.gz
T.jav.int.VUT_B-45802,Tji_45802l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tji_45802l_L4_R1_001_PFVbfJQ0G548.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tji_45802l_L4_R2_001_il1MSzEUIkU3.fastq.gz
T.jav.jav.IDN_67483,Tjj_67483l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjj_67483l_L4_R1_001_uHuvORUOIICP.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjj_67483l_L4_R2_001_cHQQsoiWWBFN.fastq.gz
T.jav.lul.FJI_22552,Tjl_22552l,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjl_22552l_L4_R1_001_bE5DevSNsqiW.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjl_22552l_L4_R2_001_86KIJOjIcTjp.fastq.gz
T.jav.lul.FJI_Futuna-Leava,Tjl_FuLeal,L4,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjl_FuLeal_L4_R1_001_wu1GSc8Z7EUU.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjl_FuLeal_L4_R2_001_AIrF4o2Jpdhv.fastq.gz
