source_organism_id,specimen_id,lane,R1,R2
T.aur.sp.PNG_4-tyto,Tau_4tytos,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tau_4tytos_L2_R1_001_M7mrtSjagoDH.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tau_4tytos_L2_R2_001_GbUi6FEitOEY.fastq.gz
T.fur.con.PE_19654,Tfc_19654s,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tfc_19654s_L2_R1_001_TgVTvq1zPL2Z.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tfc_19654s_L2_R2_001_Mfh3O4IhJNT5.fastq.gz
T.fur.fur.CUB_33444,Tff_33444s,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tff_33444s_L2_R1_001_6jEwCwfGdIvC.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tff_33444s_L2_R2_001_S6kHwVMiLJGA.fastq.gz
T.fur.pun.ECU_2942,Tfp_2942s,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tfp_2942s_L2_R1_001_az5pZi10FDpX.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tfp_2942s_L2_R2_001_E0q6EvjWBV9Z.fastq.gz
T.fur.tui.BRA_40.584,Tft_40584s,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tft_40584s_L2_R1_001_jGt2bDnInjjJ.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tft_40584s_L2_R2_001_cooa9mWRwfVF.fastq.gz
T.gla.gla.HISP_172737,Tgg172737s,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tgg172737s_L2_R1_001_Ys3jwez2v2R0.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tgg172737s_L2_R2_001_iehZmMwuBIFK.fastq.gz
T.ine.sp.IDN_7-tyto,Ti_7_tytos,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Ti_7_tytos_L2_R1_001_neGRbUao5sVD.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Ti_7_tytos_L2_R2_001_IFN0XTjBQpAY.fastq.gz
T.lon.ama.PH_70967,Tla_70967s,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tla_70967s_L2_R1_001_MIi6jiLAhXDF.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tla_70967s_L2_R2_001_2vKWDzPTkIXq.fastq.gz
T.lon.pap.IDN_74886,Tlp_74886s,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tlp_74886s_L2_R1_001_xzvx8sAW4CUn.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Tlp_74886s_L2_R2_001_7PIUW48VzGjm.fastq.gz
T.ros.sp.IDN_4632,Trr_4632s,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Trr_4632s_L2_R1_001_037KU0sLZ4c0.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Trr_4632s_L2_R2_001_VcMnMiPi7sil.fastq.gz
T.ros.sp.IDN_4634,Trr_4634s,L2,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Trr_4634s_L2_R1_001_1c0VM1zu05hb.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_5th/fastq_files/Trr_4634s_L2_R2_001_srYIyu0oze7e.fastq.gz
