source_organism_id,specimen_id,lane,R1,R2
S.alu.sp.NA_M022322,GJ_20,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_20_S20_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_20_S20_L002_R2_001.fastq.gz
S.alu.sp.NA_M022846,GJ_19,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_19_S19_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_19_S19_L002_R2_001.fastq.gz
T.alb.det.CV_CV03,GJ_18,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_18_S18_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_18_S18_L002_R2_001.fastq.gz
T.cap.cap.NA_438533,GJ_04,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_04_S4_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_04_S4_L002_R2_001.fastq.gz
T.lon.sp.NA_1991_italy,GJ_05,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_05_S5_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_05_S5_L002_R2_001.fastq.gz
T.cap.cap.ZA_76118,GJ_01,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_01_S1_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_01_S1_L002_R2_001.fastq.gz
T.cap.cap.ZA_79083,GJ_02,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_02_S2_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_02_S2_L002_R2_001.fastq.gz
T.cap.cap.ZA_80672,GJ_03,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_03_S3_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_03_S3_L002_R2_001.fastq.gz
T.cap.cap.ZA_NMBV_06121,GJ_30,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_30_S30_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_30_S30_L002_R2_001.fastq.gz
T.jav.del.NA_2945,GJ_31,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_31_S31_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_31_S31_L002_R2_001.fastq.gz
T.lon.ama.PH_25308,GJ_08,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_08_S8_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_08_S8_L002_R2_001.fastq.gz
T.lon.ama.PH_70966,GJ_33,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_33_S33_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_33_S33_L002_R2_001.fastq.gz
T.lon.lon.AU_27696,GJ_09,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_09_S9_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_09_S9_L002_R2_001.fastq.gz
T.lon.lon.AU_30315,GJ_32,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_32_S32_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_32_S32_L002_R2_001.fastq.gz
T.lon.lon.AU_A005781,GJ_06,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_06_S6_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_06_S6_L002_R2_001.fastq.gz
T.lon.lon.AU_B32599,GJ_07,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_07_S7_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_07_S7_L002_R2_001.fastq.gz
T.lon.wal.NA_344944,GJ_10,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_10_S10_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_10_S10_L002_R2_001.fastq.gz
T.mul.sp.AU_B47077,GJ_13,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_13_S13_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_13_S13_L002_R2_001.fastq.gz
T.mul.sp.NA_B10635,GJ_11,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_11_S11_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_11_S11_L002_R2_001.fastq.gz
T.mul.sp.NA_B10681,GJ_12,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_12_S12_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_12_S12_L002_R2_001.fastq.gz
T.ten.ten.AU_27011,GJ_14,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_14_S14_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_14_S14_L002_R2_001.fastq.gz
T.ten.ten.AU_32998,GJ_15,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_15_S15_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_15_S15_L002_R2_001.fastq.gz
T.ten.ten.AU_B47122,GJ_16,L2,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_16_S16_L002_R1_001.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTF_2023_2nd/fastq_files/GJ_16_S16_L002_R2_001.fastq.gz
