source_organism_id,specimen_id,lane,R1,R2
T.alb.aff.NAM_66898,Taa_66898,L7,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Taa_66898_MKDN250052936-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Taa_66898_MKDN250052936-1A_23FT27LT4_L7_2.fq.gz
T.alb.sch.PT_31052,Tas_31052,L7,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tas_31052_MKDN250052939-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tas_31052_MKDN250052939-1A_23FT27LT4_L7_2.fq.gz
T.alb.tho.STP_52428,Tat_52428,L6,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tthom52428_MKDL250015214-1A_23FT5YLT4_L6_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tthom52428_MKDL250015214-1A_23FT5YLT4_L6_2.fq.gz
T.fur.bar.BES_25153,Tab_25153,L7,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/lll_25153_MKDN250054776-1A_23FT2KLT4_L7_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/lll_25153_MKDN250054776-1A_23FT2KLT4_L7_2.fq.gz
T.fur.fur.CUB_53437,Tff_53437,L7,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/53437_II_MKDN250053766-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/53437_II_MKDN250053766-1A_23FT27LT4_L7_2.fq.gz
T.fur.pra.DOM_16499,Tfp_16499,L7,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tfp_16499_MKDN250052933-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tfp_16499_MKDN250052933-1A_23FT27LT4_L7_2.fq.gz
T.fur.tui.CHL_64924,Tft_64924,L7,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tft_64924_MKDN250052937-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tft_64924_MKDN250052937-1A_23FT27LT4_L7_2.fq.gz
T.fur.tui.CHL_64926,Tft_64926,L7,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tft_64926_MKDN250052938-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tft_64926_MKDN250052938-1A_23FT27LT4_L7_2.fq.gz
T.gla.sp.NA_21070,Tg_21070,L7,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/21070_II_MKDN250053767-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/21070_II_MKDN250053767-1A_23FT27LT4_L7_2.fq.gz
T.jav.del.WSM_23135,Tad_23135,L5,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tad_23135_23135_II_MKDN25H000092-1A_23FT5YLT4_L5_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tad_23135_23135_II_MKDN25H000092-1A_23FT5YLT4_L5_2.fq.gz
T.jav.del.WSM_23135,Tad_23135,L7,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tad_23135_23135_II_MKDN25H000092-1A_235LFNLT4_L7_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tad_23135_23135_II_MKDN25H000092-1A_235LFNLT4_L7_2.fq.gz
T.jav.sum.IDN_21862,Tas_21862,L7,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tas_21862_MKDN250052942-1A_23FT27LT4_L7_1.fq.gz,/scratch/apulido1/museum_fastq2bam_Germany_2025_4th/fastq_files/Tas_21862_MKDN250052942-1A_23FT27LT4_L7_2.fq.gz
